대수,국회의원코드,국회의원명,의안ID,의안번호,대표발의
제13대,TQH7044H,박관용,010994,130328,true
제13대,1LA80851,박석무,010994,130328,false
제13대,1LA80851,박석무,010985,130327,true
제13대,TQH7044H,박관용,010985,130327,false
제13대,1LA80851,박석무,010996,130326,true
제13대,TQH7044H,박관용,010996,130326,false
제13대,23M6254Y,김성룡,010991,130319,true
제13대,LNJ8027O,강금식,010974,130318,true
제13대,MHE1145A,박상천,010974,130318,false
제13대,MHE1145A,박상천,010974,130318,false
제13대,EWB4602W,임춘원,010973,130317,true
제13대,WV87958Z,김동주,010982,130315,true
제13대,IS69175A,김운환,010982,130315,false
제13대,U3E8106F,문준식,010982,130315,false
제13대,8J644357,최이호,010982,130315,false
제13대,GMC9494G,황대봉,010982,130315,false
제13대,7QN2895W,김동인,010976,130314,true
제13대,90U66631,김문기,010976,130314,false
제13대,6YB3013O,박우병,010976,130314,false
제13대,2CS7325Y,이민섭,010976,130314,false
제13대,7QN2895W,김동인,010975,130313,true
제13대,88J81936,이강희,010981,130312,true
제13대,7LS7395X,이태섭,010980,130311,true
제13대,S4B6672D,신경식,010980,130311,false
제13대,88J81936,이강희,010979,130310,true
제13대,8JX2594Z,남재희,010979,130310,false
제13대,3W52243S,장경우,010979,130310,false
제13대,HVO20403,양경자,010978,130309,true
제13대,3W52243S,장경우,010978,130309,false
제13대,UWX81091,장영철,010978,130309,false
제13대,P5W8553L,이병용,010977,130308,true
제13대,FPT6879K,김봉조,010983,130307,true
제13대,2VF5648T,노무현,010969,130306,true
제13대,HJI9845B,이인제,010969,130306,false
제13대,CCP79626,정정훈,010969,130306,false
제13대,CCP79626,정정훈,010971,130305,true
제13대,2VF5648T,노무현,010971,130305,false
제13대,HJI9845B,이인제,010971,130305,false
제13대,HJI9845B,이인제,010972,130304,true
제13대,2VF5648T,노무현,010972,130304,false
제13대,CCP79626,정정훈,010972,130304,false
제13대,HJI9845B,이인제,010970,130303,true
제13대,2VF5648T,노무현,010970,130303,false
제13대,CCP79626,정정훈,010970,130303,false
제13대,1OT2557M,김영도,010967,130297,true
제13대,LNJ8027O,강금식,010967,130297,false
제13대,IDG7545T,김주호,010967,130297,false
제13대,T1R43759,송현섭,010967,130297,false
제13대,VYI2708Q,신기하,010967,130297,false
제13대,JMX15674,이원배,010967,130297,false
제13대,12S7035O,조승형,010961,130296,true
제13대,MHE1145A,박상천,010961,130296,false
제13대,MHE1145A,박상천,010961,130296,false
제13대,REX1877I,오탄,010961,130296,false
제13대,AM25401F,조찬형,010961,130296,false
제13대,WOX9384I,박재규,010957,130290,true
제13대,48S5387Y,이철용,010951,130285,true
제13대,OQ09860C,김종호,010942,130274,true
제13대,BCO6264C,김영진,010942,130274,false
제13대,BCO6264C,김영진,010942,130274,false
제13대,FW82028I,백찬기,010942,130274,false
제13대,UBR50068,정일영,010942,130274,false
제13대,EWB4602W,임춘원,010938,130273,true
제13대,BCO6264C,김영진,010937,130272,true
제13대,2XE5489Z,함종한,010936,130266,true
제13대,CCP79626,정정훈,010929,130264,true
제13대,CCP79626,정정훈,010930,130263,true
제13대,5W34729L,이상수,010923,130259,true
제13대,5W34729L,이상수,010924,130258,true
제13대,5W34729L,이상수,010925,130257,true
제13대,5W34729L,이상수,010922,130256,true
제13대,9U97658K,홍영기,010921,130255,true
제13대,6VW96635,신순범,010921,130255,false
제13대,REX1877I,오탄,010921,130255,false
제13대,HIT2733V,이영권,010921,130255,false
제13대,2PO2218L,정균환,010921,130255,false
제13대,7GJ2564V,최락도,010921,130255,false
제13대,LNJ8027O,강금식,010920,130254,true
제13대,UWR1927I,김태식,010920,130254,false
제13대,7JO4216B,허만기,010920,130254,false
제13대,LNJ8027O,강금식,010919,130253,true
제13대,HJI9845B,이인제,010918,130252,true
제13대,48S5387Y,이철용,010915,130251,true
제13대,48S5387Y,이철용,010902,130250,true
제13대,WV87958Z,김동주,010900,130249,true
제13대,WV87958Z,김동주,010899,130248,true
제13대,5SH5466E,최기선,010885,130220,true
제13대,FPT6879K,김봉조,010884,130219,true
제13대,31E2086R,장석화,010886,130218,true
제13대,FPT6879K,김봉조,010882,130216,true
제13대,FPT6879K,김봉조,010883,130215,true
제13대,MHE1145A,박상천,010877,130214,true
제13대,6Z125924,송두호,010878,130213,true
제13대,KQV94557,김광일,010876,130210,true
제13대,23M6254Y,김성룡,010875,130209,true
제13대,FPT6879K,김봉조,010874,130208,true
제13대,FPT6879K,김봉조,010868,130207,true
제13대,FPT6879K,김봉조,010870,130206,true
제13대,FPT6879K,김봉조,010873,130205,true
제13대,FPT6879K,김봉조,010869,130204,true
제13대,FPT6879K,김봉조,010872,130203,true
제13대,OX877045,신영국,010871,130202,true
제13대,0XM13788,박충순,010871,130202,false
제13대,9U97658K,홍영기,010871,130202,false
제13대,9U97658K,홍영기,010866,130199,true
제13대,ERX2058H,김충조,010866,130199,false
제13대,CAX57348,박영숙,010866,130199,false
제13대,48S5387Y,이철용,010866,130199,false
제13대,8L08506K,정기영,010866,130199,false
제13대,9U97658K,홍영기,010864,130198,true
제13대,IOI30449,김봉호,010864,130198,false
제13대,4RF2451S,김원기,010864,130198,false
제13대,4D37702V,이재근,010864,130198,false
제13대,XF75222M,강보성,010863,130197,true
제13대,UBR50068,정일영,010863,130197,false
제13대,YP610287,황병태,010862,130196,true
제13대,J3Q5491L,김남,010862,130196,false
제13대,5YX7831C,정몽준,010861,130195,true
제13대,CAX57348,박영숙,010851,130194,true
제13대,ERX2058H,김충조,010851,130194,false
제13대,04D1245W,박병선,010851,130194,false
제13대,6Z125924,송두호,010851,130194,false
제13대,AMY93771,김동영,010854,130185,true
제13대,5SH5466E,최기선,010854,130185,false
제13대,5W34729L,이상수,010849,130184,true
제13대,1KZ38436,강신옥,010849,130184,false
제13대,K4I9530L,김제태,010849,130184,false
제13대,PY75021S,조부영,010845,130181,true
제13대,PY75021S,조부영,010846,130180,true
제13대,PY75021S,조부영,010842,130179,true
제13대,K4I9530L,김제태,010848,130178,true
제13대,PY75021S,조부영,010847,130177,true
제13대,PY75021S,조부영,010841,130176,true
제13대,PY75021S,조부영,010843,130175,true
제13대,PY75021S,조부영,010844,130174,true
제13대,JP019849,김장숙,010837,130173,true
제13대,VED53872,도영심,010837,130173,false
제13대,CAX57348,박영숙,010837,130173,false
제13대,LO069688,신영순,010837,130173,false
제13대,HVO20403,양경자,010837,130173,false
제13대,OK67147J,이윤자,010837,130173,false
제13대,M9I4775W,유기수,010839,130172,true
제13대,KDB6892X,김덕규,010839,130172,false
제13대,BCO6264C,김영진,010839,130172,false
제13대,BCO6264C,김영진,010839,130172,false
제13대,4Y54669I,서청원,010839,130172,false
제13대,0VC4391G,박경수,010835,130169,true
제13대,IS69175A,김운환,010834,130168,true
제13대,HRZ2823G,최정식,010833,130167,true
제13대,L9A8497B,신진수,010832,130166,true
제13대,12S7035O,조승형,010829,130163,true
제13대,OX877045,신영국,010827,130162,true
제13대,9U97658K,홍영기,010827,130162,false
제13대,OX877045,신영국,010828,130161,true
제13대,9U97658K,홍영기,010828,130161,false
제13대,XAB5157V,최형우,010823,130157,true
제13대,87W5339H,심완구,010821,130156,true
제13대,1KZ38436,강신옥,010821,130156,false
제13대,KQV94557,김광일,010821,130156,false
제13대,FR056047,문정수,010821,130156,false
제13대,UF42797P,백남치,010821,130156,false
제13대,CRH49829,오경의,010821,130156,false
제13대,FYA2094A,조만후,010821,130156,false
제13대,5SH5466E,최기선,010821,130156,false
제13대,HRZ2823G,최정식,010821,130156,false
제13대,Y0G24569,이승윤,010822,130155,true
제13대,6LQ1789H,김기배,010822,130155,false
제13대,IQX29457,김진재,010822,130155,false
제13대,KNJ5466T,이정무,010822,130155,false
제13대,3W52243S,장경우,010822,130155,false
제13대,WRP6148P,최운지,010822,130155,false
제13대,IAB1039R,황윤기,010822,130155,false
제13대,U1P4713Y,황병우,010819,130154,true
제13대,U2584716,김근수,010819,130154,false
제13대,HOO4824R,이긍규,010819,130154,false
제13대,ALJ2881B,정동호,010819,130154,false
제13대,IAB1039R,황윤기,010819,130154,false
제13대,90U66631,김문기,010820,130153,true
제13대,2CS7325Y,이민섭,010820,130153,false
제13대,NUX49887,이한동,010820,130153,false
제13대,UBR50068,정일영,010818,130152,true
제13대,KQV94557,김광일,010817,130151,true
제13대,9VF7142D,이병희,010814,130149,true
제13대,HJI9845B,이인제,010815,130148,true
제13대,KQV94557,김광일,010801,130136,true
제13대,1KZ38436,강신옥,010802,130135,true
제13대,6RM77040,이덕호,010797,130128,true
제13대,IU67432G,강재섭,010797,130128,false
제13대,O3I2054Z,권해옥,010797,130128,false
제13대,U2584716,김근수,010797,130128,false
제13대,90U66631,김문기,010797,130128,false
제13대,IOI30449,김봉호,010797,130128,false
제13대,FSJ32138,김영구,010797,130128,false
제13대,XN15344S,김종기,010797,130128,false
제13대,3JJ23576,김진영,010797,130128,false
제13대,IQX29457,김진재,010797,130128,false
제13대,2OK69779,류돈우,010797,130128,false
제13대,7IV94516,박승재,010797,130128,false
제13대,LQW1875Y,박정수,010797,130128,false
제13대,KFX3165F,박지원,010797,130128,false
제13대,FSN5613H,박희태,010797,130128,false
제13대,33J43967,서상목,010797,130128,false
제13대,S4B6672D,신경식,010797,130128,false
제13대,2XL9644Y,신상식,010797,130128,false
제13대,ALM3369J,신재기,010797,130128,false
제13대,RCJ2180Y,심정구,010797,130128,false
제13대,I3819289,오유방,010797,130128,false
제13대,Y771224V,오한구,010797,130128,false
제13대,9TG26303,유수호,010797,130128,false
제13대,4QJ8677M,이도선,010797,130128,false
제13대,J6J6288S,이영문,010797,130128,false
제13대,3IY62278,이원조,010797,130128,false
제13대,JZQ2865S,이진우,010797,130128,false
제13대,P1G3654N,이치호,010797,130128,false
제13대,VFP5558B,정동성,010797,130128,false
제13대,ALJ2881B,정동호,010797,130128,false
제13대,6QR2160X,정순덕,010797,130128,false
제13대,NBM68293,정창화,010797,130128,false
제13대,6OE6093D,정해남,010797,130128,false
제13대,WRP6148P,최운지,010797,130128,false
제13대,AML4805R,한승수,010797,130128,false
제13대,OG58098B,홍세기,010797,130128,false
제13대,U1P4713Y,황병우,010797,130128,false
제13대,PE09728Y,황철수,010797,130128,false
제13대,OX877045,신영국,010791,130125,true
제13대,K4I9530L,김제태,010791,130125,false
제13대,FZZ4744X,이상옥,010791,130125,false
제13대,OX877045,신영국,010768,130103,true
제13대,K4I9530L,김제태,010768,130103,false
제13대,FZZ4744X,이상옥,010768,130103,false
제13대,N8Y13552,박태권,010769,130102,true
제13대,K4I9530L,김제태,010769,130102,false
제13대,FZZ4744X,이상옥,010769,130102,false
제13대,OX877045,신영국,010765,130101,true
제13대,K4I9530L,김제태,010765,130101,false
제13대,SW948730,이형배,010765,130101,false
제13대,N8Y13552,박태권,010766,130100,true
제13대,K4I9530L,김제태,010766,130100,false
제13대,SW948730,이형배,010766,130100,false
제13대,N8Y13552,박태권,010767,130099,true
제13대,K4I9530L,김제태,010767,130099,false
제13대,SW948730,이형배,010767,130099,false
제13대,9TG26303,유수호,010764,130098,true
제13대,KD636919,최무룡,010763,130097,true
제13대,9TG26303,유수호,010762,130096,true
제13대,9U97658K,홍영기,010761,130095,true
제13대,OX877045,신영국,010761,130095,false
제13대,OX877045,신영국,010760,130094,true
제13대,K4I9530L,김제태,010760,130094,false
제13대,9U97658K,홍영기,010760,130094,false
제13대,XN15344S,김종기,010755,130092,true
제13대,7IV94516,박승재,010754,130091,true
제13대,FSN5613H,박희태,010753,130090,true
제13대,GZS38403,강우혁,010752,130089,true
제13대,3JJ23576,김진영,010749,130088,true
