대수,국회의원코드,국회의원명,국회의원한자명,정당명,선거구명,발의수(전체),발의수(대표발의),발의수(공동발의),원안가결(전체),수정가결(전체),철회(전체),부결(전체),수정안반영폐기(전체),대안반영폐기(전체),폐기(전체),임기만료폐기(전체),회기불계속폐기(전체),기타(전체),원안가결(대표발의),수정가결(대표발의),철회(대표발의),부결(대표발의),수정안반영폐기(대표발의),대안반영폐기(대표발의),폐기(대표발의),임기만료폐기(대표발의),회기불계속폐기(대표발의),기타,원안가결(공동발의),수정가결(공동발의),철회(공동발의),부결(공동발의),수정안반영폐기(공동발의),대안반영폐기(공동발의),폐기(공동발의),임기만료폐기(공동발의),회기불계속폐기(공동발의),기타(공동발의)
제21대,MQU41854,조은희,趙恩禧,국민의힘,서울 서초구갑,342,42,300,4,25,3,0,14,72,0,224,0,0,0,4,0,0,0,9,0,29,0,0,4,21,3,0,14,63,0,195,0,0
제21대,MLH1404S,김민석,金民錫,더불어민주당,서울 영등포구을,901,86,815,7,47,7,0,11,221,2,606,0,0,2,3,1,0,0,28,0,52,0,0,5,44,6,0,11,193,2,554,0,0
제21대,SVH3899R,김용판,金用判,미래통합당,대구 달서구병,2302,132,2170,25,105,16,0,38,593,12,1513,0,0,0,6,0,0,8,32,0,86,0,0,25,99,16,0,30,561,12,1427,0,0
제21대,QUO78839,박재호,朴在昊,더불어민주당,부산 남구을,774,93,681,12,40,6,0,4,232,4,476,0,0,6,3,1,0,0,25,0,58,0,0,6,37,5,0,4,207,4,418,0,0
제21대,PZA4062H,양정숙,梁貞淑,무소속,비례대표,2959,163,2796,38,113,36,0,16,707,10,2039,0,0,0,1,1,0,0,26,1,134,0,0,38,112,35,0,16,681,9,1905,0,0
제21대,9L57027L,유경준,兪京濬,미래통합당,서울 강남구병,975,67,908,6,52,9,0,17,259,6,626,0,0,0,1,2,0,2,24,0,38,0,0,6,51,7,0,15,235,6,588,0,0
제21대,ZDP5704Q,윤주경,尹柱卿,미래한국당,비례대표,502,53,449,5,16,3,0,3,134,3,338,0,0,0,1,0,0,0,10,0,42,0,0,5,15,3,0,3,124,3,296,0,0
제21대,EH27538E,임이자,林利子,미래통합당,경북 상주시문경시,1070,133,937,10,47,9,0,10,325,12,657,0,0,1,7,0,0,0,66,0,59,0,0,9,40,9,0,10,259,12,598,0,0
제21대,GAV6441G,장혜영,張惠英,정의당,비례대표,589,45,544,1,9,4,0,0,110,1,464,0,0,0,0,0,0,0,6,0,39,0,0,1,9,4,0,0,104,1,425,0,0
제21대,XSP20229,김성환,金星煥,더불어민주당,서울 노원구병,675,28,647,5,31,15,0,15,139,1,469,0,0,1,4,0,0,1,5,0,17,0,0,4,27,15,0,14,134,1,452,0,0
제21대,4U29186R,문진석,文振碩,더불어민주당,충남 천안시갑,1366,67,1299,17,73,13,0,7,389,6,861,0,0,0,1,0,0,3,23,0,40,0,0,17,72,13,0,4,366,6,821,0,0
제21대,A2V51235,배진교,裵晋敎,정의당,비례대표,635,38,597,2,11,4,0,0,120,1,497,0,0,0,0,1,0,0,7,0,30,0,0,2,11,3,0,0,113,1,467,0,0
제21대,LH97552Q,김도읍,金度邑,미래통합당,부산 북구강서구을,811,164,647,19,39,7,0,4,195,8,539,0,0,4,8,0,0,0,29,3,120,0,0,15,31,7,0,4,166,5,419,0,0
제21대,FIC9046Z,김의겸,金宜謙,열린민주당,비례대표,605,24,581,2,20,0,0,2,82,0,499,0,0,0,0,0,0,0,2,0,22,0,0,2,20,0,0,2,80,0,477,0,0
제21대,40E3739H,윤창현,尹暢賢,미래한국당,비례대표,1222,81,1141,15,41,5,0,22,360,10,769,0,0,0,3,0,0,0,23,0,55,0,0,15,38,5,0,22,337,10,714,0,0
제21대,ZRF3039U,윤재옥,尹在玉,미래통합당,대구 달서구을,396,77,319,7,21,6,0,11,116,4,231,0,0,1,8,0,0,0,24,0,44,0,0,6,13,6,0,11,92,4,187,0,0
제21대,WDS6044S,이채익,李埰益,미래통합당,울산 남구갑,933,70,863,15,40,10,0,15,219,2,632,0,0,0,2,0,0,0,20,0,48,0,0,15,38,10,0,15,199,2,584,0,0
제21대,I0S53762,하태경,河泰慶,미래통합당,부산 해운대구갑,334,58,276,0,9,6,0,1,75,1,242,0,0,0,3,1,0,0,6,1,47,0,0,0,6,5,0,1,69,0,195,0,0
제21대,TVF3669B,김태흠,金泰欽,미래통합당,충남 보령시서천군,426,21,405,4,17,6,0,2,109,5,283,0,0,0,0,0,0,0,4,0,17,0,0,4,17,6,0,2,105,5,266,0,0
제21대,WHV3448W,양향자,梁香子,더불어민주당,광주 서구을,836,45,791,9,45,10,0,11,235,2,524,0,0,0,1,0,0,1,11,1,31,0,0,9,44,10,0,10,224,1,493,0,0
제21대,OIA3741M,오기형,吳奇炯,더불어민주당,서울 도봉구을,229,23,206,5,15,0,0,2,61,1,145,0,0,0,1,0,0,0,6,0,16,0,0,5,14,0,0,2,55,1,129,0,0
제21대,7R156073,박범계,朴範界,더불어민주당,대전 서구을,157,32,125,13,23,1,0,0,35,3,82,0,0,2,3,0,0,0,6,0,21,0,0,11,20,1,0,0,29,3,61,0,0
제21대,0PK7354M,서동용,徐東榕,더불어민주당,전남 순천시광양시곡성군구례군을,1182,86,1096,10,61,9,0,14,263,4,821,0,0,2,6,0,0,0,25,0,53,0,0,8,55,9,0,14,238,4,768,0,0
제21대,SU53086M,심상정,沈相정,정의당,경기 고양시갑,663,62,601,2,7,8,0,1,117,0,528,0,0,0,1,1,0,0,13,0,47,0,0,2,6,7,0,1,104,0,481,0,0
제21대,I434361W,조태용,趙太庸,미래한국당,비례대표,218,15,203,2,5,2,0,0,53,1,155,0,0,1,1,0,0,0,1,0,12,0,0,1,4,2,0,0,52,1,143,0,0
제21대,MNZ4401T,강선우,姜仙祐,더불어민주당,서울 강서구갑,1254,133,1121,21,84,11,0,4,328,2,804,0,0,3,12,3,0,0,32,0,83,0,0,18,72,8,0,4,296,2,721,0,0
제21대,L5P27909,김은혜,金恩慧,미래통합당,경기 성남시분당구갑,257,21,236,4,9,1,0,1,75,5,162,0,0,0,0,0,0,0,9,0,12,0,0,4,9,1,0,1,66,5,150,0,0
제21대,B7H6207C,박대수,朴大壽,미래한국당,비례대표,2117,74,2043,27,79,21,0,20,531,4,1435,0,0,0,0,1,0,0,28,0,45,0,0,27,79,20,0,20,503,4,1390,0,0
제21대,M0A1658U,윤호중,尹昊重,더불어민주당,경기 구리시,296,35,261,2,13,1,0,0,49,1,230,0,0,0,0,0,0,0,3,1,31,0,0,2,13,1,0,0,46,0,199,0,0
제21대,HKJ99607,이병훈,李炳勳,더불어민주당,광주 동구남구을,1705,139,1566,21,89,17,0,23,407,12,1136,0,0,6,11,3,0,1,31,2,85,0,0,15,78,14,0,22,376,10,1051,0,0
제21대,H5476989,한병도,韓秉道,더불어민주당,전북 익산시을,1580,118,1462,15,61,12,0,20,464,5,1003,0,0,0,8,2,0,0,45,0,63,0,0,15,53,10,0,20,419,5,940,0,0
제21대,JVB6983V,노용호,魯容昊,국민의힘,비례대표,388,44,344,4,26,6,0,7,84,0,261,0,0,1,5,0,0,0,14,0,24,0,0,3,21,6,0,7,70,0,237,0,0
제21대,BT62420K,박찬대,朴贊大,더불어민주당,인천 연수구갑,772,48,724,16,40,2,0,5,180,7,522,0,0,2,5,0,0,0,11,0,30,0,0,14,35,2,0,5,169,7,492,0,0
제21대,HSS7466Y,백혜련,白惠蓮,더불어민주당,경기 수원시을,660,136,524,18,47,3,0,4,175,2,411,0,0,6,8,0,0,0,36,0,86,0,0,12,39,3,0,4,139,2,325,0,0
제21대,4A067125,이광재,李光宰,더불어민주당,강원 원주시갑,508,27,481,10,31,5,0,2,163,8,289,0,0,0,3,0,0,0,6,1,17,0,0,10,28,5,0,2,157,7,272,0,0
제21대,LPB30152,최인호,崔仁昊,더불어민주당,부산 사하구갑,1107,64,1043,12,64,8,0,22,285,5,711,0,0,0,11,1,0,0,33,0,19,0,0,12,53,7,0,22,252,5,692,0,0
제21대,JQA21112,한기호,韓起鎬,미래통합당,강원 춘천시철원군화천군양구군을,409,59,350,1,17,3,0,2,105,0,281,0,0,1,3,0,0,0,11,0,44,0,0,0,14,3,0,2,94,0,237,0,0
제21대,IOW1101J,김영식,金英植,미래통합당,경북 구미시을,1360,79,1281,21,50,9,0,23,349,6,902,0,0,1,4,0,0,0,14,0,60,0,0,20,46,9,0,23,335,6,842,0,0
