의안ID,의안번호,법률안명,소관위원회,제안일,본회의심의결과,대수,상세페이지,제안자,제안자목록링크,법사위처리일,법사위상정일,법사위회부일,소관위처리결과,소관위처리일,소관위상정일,소관위회부일,의결일,소관위원회ID,공동발의자,법사위처리결과,대표발의자
010736,130071,경범죄처벌법중개정법률안,민주발전을위한법률개폐특별위원회,1988-07-21,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010736&ageFrom=13&ageTo=13,유기천의원등 2인 외 122인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010736,,,,대안반영폐기,1988-12-05,1988-07-28,1988-07-27,1988-12-15,9700148,오유방,,유기천
010738,130070,집회및시위에관한법률중개정법률안,민주발전을위한법률개폐특별위원회,1988-07-21,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010738&ageFrom=13&ageTo=13,김종호의원 외 123인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010738,,,,대안반영폐기,1989-03-06,1988-07-28,1988-07-27,1989-03-09,9700148,,,김종호
010737,130069,경찰관직무집행법중개정법률안,민주발전을위한법률개폐특별위원회,1988-07-21,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010737&ageFrom=13&ageTo=13,홍세기의원등 2인 외 122인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010737,,,,대안반영폐기,1988-12-12,1988-07-28,1988-07-27,1988-12-16,9700148,강우혁,,홍세기
010735,130068,헌법재판소재판관의보수에관한법률안,법제사법위원회,1988-07-21,철회,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010735&ageFrom=13&ageTo=13,유수호의원등 2인 외 122인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010735,,,,,,,1988-07-22,1988-10-24,9700006,이진우,,유수호
010734,130066,방송법중개정법률안,교육체육청소년위원회,1988-07-19,임기만료폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010734&ageFrom=13&ageTo=13,조세형의원등 2인 외 69인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010734,,,,원안가결,,,1988-07-20,1992-05-29,9700027,박실,,조세형
010717,130065,양곡관리법중개정법률안,농림수산위원회,1988-07-18,수정가결,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010717&ageFrom=13&ageTo=13,김봉호의원등 3인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010717,1988-07-23,1988-07-23,1988-07-22,수정가결,1988-07-22,1988-07-21,1988-07-19,1988-07-23,9700028,"윤재기,황병태",수정가결,김봉호
010731,130064,국가안전기획부법개정법률안,민주발전을위한법률개폐특별위원회,1988-07-18,임기만료폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010731&ageFrom=13&ageTo=13,김원기의원등 2인 외 129인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010731,,,,,,,1988-07-27,1992-05-29,9700148,최형우,,김원기
010730,130063,예산회계에관한특례법폐지법률안,민주발전을위한법률개폐특별위원회,1988-07-18,임기만료폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010730&ageFrom=13&ageTo=13,김봉호의원등 3인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010730,,,,,,,1988-07-27,1992-05-29,9700148,"조부영,황병태",,김봉호
010722,130062,전화세법폐지법률안,재무위원회,1988-07-18,폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010722&ageFrom=13&ageTo=13,김태식의원등 2인 외 129인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010722,,,,폐기,1988-11-30,1988-11-05,1988-07-19,1988-12-02,9700011,김덕룡,,김태식
010719,130061,정당법중개정법률안,민주발전을위한법률개폐특별위원회,1988-07-18,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010719&ageFrom=13&ageTo=13,조세형의원등 4인 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010719,,,,대안반영폐기,1989-02-24,1988-08-18,1988-07-27,1989-03-08,9700148,"김정길,김정길,이택석",,조세형
